instance,execution_time_sec,total_cost,capacity_ok
E030-04S.dat,0.0054,534.448,True
E200-16b.dat,0.0731,1422.01,False
E076-07s.dat,0.0086,751.69,True
E021-04m.dat,0.0028,391.766,False
E076-08u.dat,0.0081,794.741,True
E033-04g.dat,0.0044,843.098,True
E200-17c.dat,0.0763,1421.59,True
E016-05m.dat,0.0024,336.857,False
E030-03g.dat,0.0026,534.448,False
E135-07f.dat,0.0274,1232.31,True
E041-14h.dat,0.0038,899.495,False
E022-06m.dat,0.0021,508.219,False
E076D09r.dat,0.0079,1429.26,False
E200-16c.dat,0.0784,1421.59,False
E031-09h.dat,0.0029,625.215,False
E151C14r.dat,0.0357,2441.05,False
E076B09r.dat,0.0078,1377.69,False
E033-03N.dat,0.0044,2138.22,True
E076C09r.dat,0.0087,1389.35,True
E076-14u.dat,0.01,1054.6,False
E023-03g.dat,0.0022,576.42,True
E151-12b.dat,0.037,1112.5,True
E076-08s.dat,0.0101,794.741,True
E101A11r.dat,0.014,2156.17,False
E076-14s.dat,0.0076,1054.6,False
E200-17b.dat,0.076,1422.01,True
E121-07c.dat,0.0201,1078.03,True
E151D14r.dat,0.0341,2812.74,False
E051-05e.dat,0.0046,584.637,False
E022-04g.dat,0.0029,388.772,True
E101-14s.dat,0.0148,1143.45,True
E076A10r.dat,0.0088,1652.68,True
E026-08m.dat,0.0039,626.781,False
E101-08e.dat,0.0146,877.935,True
E033-05s.dat,0.0052,843.098,True
E048-04y.dat,0.0037,43085.8,True
E101D11r.dat,0.0138,1688.77,False
E151B14r.dat,0.0352,2905.56,True
E151-12c.dat,0.0357,1095.38,True
E151A15r.dat,0.0343,3381.58,False
E045-04f.dat,0.0034,730.249,False
E016-03m.dat,0.0021,282.946,False
E101-14u.dat,0.0154,1143.45,True
E021-06m.dat,0.0043,444.42,False
E036-11h.dat,0.0035,731.465,False
E101-10c.dat,0.013,838.867,True
E076-10e.dat,0.0078,914.271,False
E023-05S.dat,0.0022,576.42,True
E101B11r.dat,0.0147,2043.7,False
E076-15s.dat,0.0083,1054.6,True
E072-04f.dat,0.0067,258.226,False
E076-07u.dat,0.0087,751.69,True
E101C11r.dat,0.0145,1466.83,True
