instance,execution_time_sec,total_cost,capacity_ok
E030-04S.dat,0.0042,534.448,True
E200-16b.dat,0.073,1422.01,False
E076-07s.dat,0.008,751.69,True
E021-04m.dat,0.0029,391.766,False
E076-08u.dat,0.0079,794.741,True
E033-04g.dat,0.0035,843.098,True
E200-17c.dat,0.0771,1421.59,True
E016-05m.dat,0.0022,336.857,False
E030-03g.dat,0.0032,534.448,False
E135-07f.dat,0.0269,1232.31,True
E041-14h.dat,0.0036,899.495,False
E022-06m.dat,0.0025,508.219,False
E076D09r.dat,0.0079,1429.26,False
E200-16c.dat,0.0751,1421.59,False
E031-09h.dat,0.0028,625.215,False
E151C14r.dat,0.0362,2441.05,False
E076B09r.dat,0.0077,1377.69,False
E033-03N.dat,0.0039,2138.22,True
E076C09r.dat,0.0084,1389.35,True
E076-14u.dat,0.0075,1054.6,False
E023-03g.dat,0.003,576.42,True
E151-12b.dat,0.036,1112.5,True
E076-08s.dat,0.0083,794.741,True
E101A11r.dat,0.0144,2156.17,False
E076-14s.dat,0.0086,1054.6,False
E200-17b.dat,0.0719,1422.01,True
E121-07c.dat,0.0194,1078.03,True
E151D14r.dat,0.0345,2812.74,False
E051-05e.dat,0.0045,584.637,False
E022-04g.dat,0.0023,388.772,True
E101-14s.dat,0.0143,1143.45,True
E076A10r.dat,0.0079,1652.68,True
E026-08m.dat,0.0028,626.781,False
E101-08e.dat,0.0135,877.935,True
E033-05s.dat,0.0037,843.098,True
E048-04y.dat,0.0039,43085.8,True
E101D11r.dat,0.0141,1688.77,False
E151B14r.dat,0.0346,2905.56,True
E151-12c.dat,0.0355,1095.38,True
E151A15r.dat,0.0372,3381.58,False
E045-04f.dat,0.0038,730.249,False
E016-03m.dat,0.0025,282.946,False
E101-14u.dat,0.0146,1143.45,True
E021-06m.dat,0.0027,444.42,False
E036-11h.dat,0.0036,731.465,False
E101-10c.dat,0.0141,838.867,True
E076-10e.dat,0.0083,914.271,False
E023-05S.dat,0.0027,576.42,True
E101B11r.dat,0.0139,2043.7,False
E076-15s.dat,0.0085,1054.6,True
E072-04f.dat,0.0077,258.226,False
E076-07u.dat,0.0076,751.69,True
E101C11r.dat,0.0147,1466.83,True
